127.0.0.1 - - [22/Oct/2017:18:50:29 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:08 -0200] "GET /ProjectLab/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&_=1508705708293 HTTP/1.1" 200 42070
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:11 -0200] "POST /ProjectLab/agendarAuditoria.xhtml HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:13 -0200] "POST /ProjectLab/index.xhtml HTTP/1.1" 200 8836
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:13 -0200] "GET /ProjectLab/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&_=1508705713330 HTTP/1.1" 200 42070
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:15 -0200] "POST /ProjectLab/agendarAuditoria.xhtml HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:22 -0200] "POST /ProjectLab/index.xhtml HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:24 -0200] "POST /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:28 -0200] "POST /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:28 -0200] "POST /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:55:29 -0200] "POST /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:06 -0200] "GET /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 10704
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:12 -0200] "GET /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 10705
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:13 -0200] "POST /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:14 -0200] "POST /ProjectLab/cadastrarTipoEstabelecimento.xhtml HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:15 -0200] "GET /ProjectLab/index.xhtml HTTP/1.1" 200 5716
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:19 -0200] "GET /ProjectLab/index.xhtml HTTP/1.1" 200 5717
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:19 -0200] "GET /ProjectLab/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24424
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:19 -0200] "GET /ProjectLab/design/layout.css HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:19 -0200] "GET /ProjectLab/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [22/Oct/2017:18:56:19 -0200] "GET /ProjectLab/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
